[TIMESERIES]
;;Name           Date       Time       Value     
;;-------------- ---------- ---------- ----------
RainGage2        7/22/2012  3:10       0         
RainGage2        7/22/2012  3:15       0         
RainGage2        7/22/2012  3:20       0         
RainGage2        7/22/2012  3:25       0         
RainGage2        7/22/2012  3:30       1.2       
RainGage2        7/22/2012  3:35       0         
RainGage2        7/22/2012  3:40       0         
RainGage2        7/22/2012  3:45       0         
RainGage2        7/22/2012  3:50       0         
RainGage2        7/22/2012  3:55       0         
RainGage2        7/22/2012  4:00       0         
RainGage2        7/22/2012  4:05       0         
RainGage2        7/22/2012  4:10       0         
RainGage2        7/22/2012  4:15       0         
RainGage2        7/22/2012  4:20       0         
RainGage2        7/22/2012  4:25       0         
RainGage2        7/22/2012  4:30       0         
RainGage2        7/22/2012  4:35       0         
RainGage2        7/22/2012  4:40       0         
RainGage2        7/22/2012  4:45       0         
RainGage2        7/22/2012  4:50       0         
RainGage2        7/22/2012  4:55       0         
RainGage2        7/22/2012  5:00       0         
RainGage2        7/22/2012  5:05       0         
RainGage2        7/22/2012  17:05       0         
;
RainGage3        7/21/2012  11:05      0         
RainGage3        7/21/2012  11:10      0         
RainGage3        7/21/2012  11:15      1.2       
RainGage3        7/21/2012  11:20      2.4       
RainGage3        7/21/2012  11:25      2.4       
RainGage3        7/21/2012  11:30      3.6       
RainGage3        7/21/2012  11:35      1.2       
RainGage3        7/21/2012  11:40      2.4       
RainGage3        7/21/2012  11:45      2.4       
RainGage3        7/21/2012  11:50      2.4       
RainGage3        7/21/2012  11:55      3.6       
RainGage3        7/21/2012  12:00      2.4       
RainGage3        7/21/2012  12:05      0         
RainGage3        7/21/2012  12:10      1.2       
RainGage3        7/21/2012  12:15      1.2       
RainGage3        7/21/2012  12:20      0         
RainGage3        7/21/2012  12:25      1.2       
RainGage3        7/21/2012  12:30      0         
RainGage3        7/21/2012  12:35      2.4       
RainGage3        7/21/2012  12:40      2.4       
RainGage3        7/21/2012  12:45      1.2       
RainGage3        7/21/2012  12:50      0         
RainGage3        7/21/2012  12:55      1.2       
RainGage3        7/21/2012  13:00      0         
RainGage3        7/21/2012  13:05      1.2       
RainGage3        7/21/2012  13:10      8.4       
RainGage3        7/21/2012  13:15      4.8       
RainGage3        7/21/2012  13:20      9.6       
RainGage3        7/21/2012  13:25      25.2      
RainGage3        7/21/2012  13:30      19.2      
RainGage3        7/21/2012  13:35      14.4      
RainGage3        7/21/2012  13:40      7.2       
RainGage3        7/21/2012  13:45      7.2       
RainGage3        7/21/2012  13:50      7.2       
RainGage3        7/21/2012  13:55      8.4       
RainGage3        7/21/2012  14:00      7.2       
RainGage3        7/21/2012  14:05      10.8      
RainGage3        7/21/2012  14:10      12        
RainGage3        7/21/2012  14:15      6         
RainGage3        7/21/2012  14:20      26.4      
RainGage3        7/21/2012  14:25      34.8      
RainGage3        7/21/2012  14:30      108       
RainGage3        7/21/2012  14:35      133.2     
RainGage3        7/21/2012  14:40      36        
RainGage3        7/21/2012  14:45      2.4       
RainGage3        7/21/2012  14:50      1.2       
RainGage3        7/21/2012  14:55      0         
RainGage3        7/21/2012  15:00      0         
